backdrop_path,poster_path,genre_ids,keyword_ids,id,title,overview,popularity,release_date,vote_average,vote_count,genres,keywords,original_language,soup
/5qnO59vJwrfUJGikGQlcFbR9ZtM.jpg,/k3C8qVakO3T2WI6rLtJ1MYL9owI.jpg,[18],"[488, 3036, 11001, 11162, 157894]",17842,In the Beginning,"In the Beginning is a 2-part biblical television miniseries directed by Kevin Connor. It stars Martin Landau and Jacqueline Bisset and it premiered on NBC on November 12, 2000.",35.335,2000-11-12,7.2,5,['drama'],"['moses', 'bible', 'religion', 'miniseries', 'ancient egypt']",en,"In the Beginning drama In the Beginning is a 2-part biblical television miniseries directed by Kevin Connor. It stars Martin Landau and Jacqueline Bisset and it premiered on NBC on November 12, 2000. moses bible religion miniseries ancient egypt"
/5dQh0KIUMOEp6zSgGevqpSusfka.jpg,/hSttE4mnZdmANv6snbK2RYncbbs.jpg,"[10759, 18]","[6917, 3036]",61689,The Red Tent,"Her name is Dinah. In the Bible her life is only hinted at during a brief and violent detour within the more familiar chapters about her father, Jacob, and his dozen sons in the Book of Genesis. Told through Dinah's eloquent voice, this sweeping miniseries reveals the traditions and turmoil of ancient womanhood. Dinah's tale begins with the story of her mothers: Leah, Rachel, Zilpah, and Bilhah, the four wives of Jacob. They love Dinah and give her gifts that are to sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah tells us of the world of the red tent, the place where women were sequestered during their cycles of birthing, menses, and illness; of her initiations into the religious and sexual practices of her tribe; of Jacob's courtship with his four wives; of the mystery and wonder of caravans, farmers, shepherds, and slaves; of love and death in the city of Shechem; of her half-brother Joseph's rise in Egypt, and of course her marriage to Shechem and it's bloody consequences.",34.805,2014-12-07,7.1,41,"['action & adventure', 'drama']","['epic', 'bible']",en,"The Red Tent action & adventure drama Her name is Dinah. In the Bible her life is only hinted at during a brief and violent detour within the more familiar chapters about her father, Jacob, and his dozen sons in the Book of Genesis. Told through Dinah's eloquent voice, this sweeping miniseries reveals the traditions and turmoil of ancient womanhood. Dinah's tale begins with the story of her mothers: Leah, Rachel, Zilpah, and Bilhah, the four wives of Jacob. They love Dinah and give her gifts that are to sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah tells us of the world of the red tent, the place where women were sequestered during their cycles of birthing, menses, and illness; of her initiations into the religious and sexual practices of her tribe; of Jacob's courtship with his four wives; of the mystery and wonder of caravans, farmers, shepherds, and slaves; of love and death in the city of Shechem; of her half-brother Joseph's rise in Egypt, and of course her marriage to Shechem and it's bloody consequences. epic bible"
/9Z1aHf2hURZqzCyqMr24kSzgaVo.jpg,/5uxUa1gF15oVTyVwaKPzIBWCamM.jpg,[99],"[818, 6078, 11162, 155876, 221192, 258703, 288793]",91505,The Family,"An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions.",34.753,2019-08-09,6.8,73,['documentary'],"['based on novel or book', 'politics', 'miniseries', 'reenactment', 'secrecy', 'christian', 'power']",en,"The Family documentary An enigmatic conservative Christian group known as the Family wields enormous influence in Washington, D.C., in pursuit of its global ambitions. based on novel or book politics miniseries reenactment secrecy christian power"
/yWY9senDDTOyNmaOljIF1xKIRVY.jpg,/hwVJnaxrC6GPLISLrcLEICurKH9.jpg,"[9648, 80, 9648]","[586, 6152, 8685, 14765, 161914, 222802, 269233]",349,Point Pleasant,"A series of supernatural events begins in a small coastal New Jersey town after the arrival of a mysterious teenage girl, who apparently has the ability to influence the people and events around her.",33.055,2005-01-19,6.8,33,"['mystery', 'crime', 'mystery']","['new jersey', 'supernatural', 'anti-christ', 'church', 'dark heroine', 'amnesiac', 'good versus evil']",en,"Point Pleasant mystery crime mystery A series of supernatural events begins in a small coastal New Jersey town after the arrival of a mysterious teenage girl, who apparently has the ability to influence the people and events around her. new jersey supernatural anti-christ church dark heroine amnesiac good versus evil"
/6T2ktkcqCKDPpCJB4nZeBtwns8S.jpg,/oZw9pMEHNtBzXMkWtsmnTEnrrVv.jpg,[18],"[488, 3036, 11162]",9199,The Ten Commandments,"One biblical figure is revered by Jews, Christians, and Muslims alike. His name is Moses, the man who rose in power to defend a people, to free them, and to live in history like no other... The Ten Commandments dramatizes the biblical story of Moses.",32.614,2006-04-10,5.0,14,['drama'],"['moses', 'bible', 'miniseries']",en,"The Ten Commandments drama One biblical figure is revered by Jews, Christians, and Muslims alike. His name is Moses, the man who rose in power to defend a people, to free them, and to live in history like no other... The Ten Commandments dramatizes the biblical story of Moses. moses bible miniseries"
/oKHOMudHakxD5E9u9BXs59jZQfe.jpg,/g7K7IrHzfCMbvJDahkymKugyfuZ.jpg,[35],"[6054, 212, 186, 193171, 204970, 206298]",64339,Chewing Gum,"The life of Tracey, a religious, Beyoncé-obsessed 22-year-old  living in an estate in Tower Hamlets, and the mishaps of her neighbourhood, friends and family. Oh, and obvs her boyfriend!",28.334,2015-10-06,7.3,79,['comedy'],"['friendship', 'london, england', 'christianity', 'sitcom', 'east end of london', 'young adult']",en,"Chewing Gum comedy The life of Tracey, a religious, Beyoncé-obsessed 22-year-old  living in an estate in Tower Hamlets, and the mishaps of her neighbourhood, friends and family. Oh, and obvs her boyfriend! friendship london, england christianity sitcom east end of london young adult"
,/9d5d3Dl5kDhxHlmMw2xbqZKOJpc.jpg,[18],"[3033, 3036, 11162, 281102]",16062,A.D.,A 12 hours miniseries adapted from Anthony Burgess's novel The Kingdom of the Wicked.,28.312,1985-03-31,4.7,7,['drama'],"['apostle', 'bible', 'miniseries', 'a.d. anno domini']",en,A.D. drama A 12 hours miniseries adapted from Anthony Burgess's novel The Kingdom of the Wicked. apostle bible miniseries a.d. anno domini
/czvfBZ8zLQZum2ZQOjbuhmCXKIf.jpg,/h5pSXFYmpQiTaq9ECKKMm7xjU3t.jpg,[18],"[3036, 11001, 210015]",65814,Of Kings and Prophets,"An epic biblical saga of faith, ambition and betrayal as told through the eyes of the battle-weary King Saul, the resentful prophet Samuel and the resourceful young shepherd David—all on a collision course with destiny that will change the world. One thousand years before Christ, the first king of the Israelites, Saul, struggles to unify the 12 Israelite tribes and defend his fledgling nation against savage enemy attacks. The prophet Samuel relays a message from God to King Saul that he must destroy one of Israel's ancient enemies. But when Saul defies that message, Samuel prophesies that the Lord will tear the kingdom of Israel from him and choose another in his place. In time, Saul comes to realize that his greatest threat will not come from his enemies, but from the shepherd, David.",28.291,2016-03-08,6.3,18,['drama'],"['bible', 'religion', 'ancient israel']",en,"Of Kings and Prophets drama An epic biblical saga of faith, ambition and betrayal as told through the eyes of the battle-weary King Saul, the resentful prophet Samuel and the resourceful young shepherd David—all on a collision course with destiny that will change the world. One thousand years before Christ, the first king of the Israelites, Saul, struggles to unify the 12 Israelite tribes and defend his fledgling nation against savage enemy attacks. The prophet Samuel relays a message from God to King Saul that he must destroy one of Israel's ancient enemies. But when Saul defies that message, Samuel prophesies that the Lord will tear the kingdom of Israel from him and choose another in his place. In time, Saul comes to realize that his greatest threat will not come from his enemies, but from the shepherd, David. bible religion ancient israel"
/khxPVWZL0Lbd1JZJ7z5vKjoCOqH.jpg,/7EdevpTHAoizlEHVATfvgurFsaY.jpg,[18],"[818, 745, 10483, 10093, 18396, 156630, 157008, 208719]",91413,Lambs of God,"A dark, gothic tale about three nuns, each a generation apart, living in an isolated convent by the coast, and an unwelcome visitor who enters their lives and changes their world forever.",28.059,2019-07-21,6.2,29,['drama'],"['based on novel or book', 'nun', 'eccentric', 'priest', 'catholic', 'remote island', 'catholic church', 'secluded']",en,"Lambs of God drama A dark, gothic tale about three nuns, each a generation apart, living in an isolated convent by the coast, and an unwelcome visitor who enters their lives and changes their world forever. based on novel or book nun eccentric priest catholic remote island catholic church secluded"
/1xU9V4xdCRZQdoAwKy0LlfBdtNU.jpg,/MqDwyYfPhEeVgV8a0KXi9baMQh.jpg,[18],"[3571, 3036, 11001, 11162, 230097, 243261, 258703, 273060, 282071, 282633, 291162]",62287,A.D. The Bible Continues,"""A.D. The Bible Continues"" picks up where the smash hit miniseries ""The Bible"" left off, continuing the greatest story ever told and exploring the exciting and inspiring events that followed the Crucifixion of Christ. The immediate aftermath of Christ's death had a massive impact on his disciples, his mother, Mary, and key political and religious leaders of the era, completely altering the entire world in an instant. Beginning at that fateful moment of the Crucifixion and the Resurrection, ""A.D. The Bible Continues"" will focus on the disciples who had to go forward and spread the teachings of Christ to a world dominated by political unrest, and the start of a whole new religion that would dramatically reshape the history of the world.",26.035,2015-04-05,6.4,31,['drama'],"['crucifixion', 'bible', 'religion', 'miniseries', 'jesus christ', 'new testament', 'christian', 'christian faith', 'biblical', 'history', 'christ']",en,"A.D. The Bible Continues drama ""A.D. The Bible Continues"" picks up where the smash hit miniseries ""The Bible"" left off, continuing the greatest story ever told and exploring the exciting and inspiring events that followed the Crucifixion of Christ. The immediate aftermath of Christ's death had a massive impact on his disciples, his mother, Mary, and key political and religious leaders of the era, completely altering the entire world in an instant. Beginning at that fateful moment of the Crucifixion and the Resurrection, ""A.D. The Bible Continues"" will focus on the disciples who had to go forward and spread the teachings of Christ to a world dominated by political unrest, and the start of a whole new religion that would dramatically reshape the history of the world. crucifixion bible religion miniseries jesus christ new testament christian christian faith biblical history christ"
